id_articulo,nombre,marca,categoria,subcategoria,gama,precio,coste,es_barco,prob_pesca
A0001,Egi-OH Live 3.0 Naranja,Yamashita,Eging,Señuelo,Alta,23.0,12.65,False,0.7
A0002,Egi-OH Live 3.5 Rosa,Yamashita,Eging,Señuelo,Alta,23.0,12.65,False,0.7
A0003,Egi-OH Live 3.0 Natural,Yamashita,Eging,Señuelo,Alta,23.0,12.65,False,0.7
A0004,Real Fish Sargo,DTD,Eging,Señuelo,Media,14.5,7.98,False,0.55
A0005,Real Fish Julia,DTD,Eging,Señuelo,Media,14.5,7.98,False,0.55
A0006,Real Fish Pagel,DTD,Eging,Señuelo,Media,14.5,7.98,False,0.55
A0007,Jibionera Tela Pack 3u,Generico,Eging,Señuelo,Baja,9.0,4.95,False,0.2
A0008,Crostage Eging 832E,Major Craft,Eging,Caña,Media,155.0,85.25,False,0.0
A0009,Crostage Eging 862E,Major Craft,Eging,Caña,Media,155.0,85.25,False,0.0
A0010,Black Minnow 120 Kaki,Fiiish,Spinning,Señuelo,Alta,13.5,7.43,False,0.8
A0011,Black Minnow 120 Blue,Fiiish,Spinning,Señuelo,Alta,13.5,7.43,False,0.8
A0012,Black Minnow 120 Pink,Fiiish,Spinning,Señuelo,Alta,13.5,7.43,False,0.8
A0013,Patchinko 100 Sun Sprat,Xorus,Spinning,Señuelo,Alta,32.0,17.6,False,0.85
A0014,Patchinko 100 Ghost Iwashi,Xorus,Spinning,Señuelo,Alta,32.0,17.6,False,0.85
A0015,MaxRap 13 Fayu,Rapala,Spinning,Señuelo,Media,19.0,10.45,False,0.6
A0016,MaxRap 13 Flake Silver,Rapala,Spinning,Señuelo,Media,19.0,10.45,False,0.6
A0017,Sandeel White,Savage Gear,Spinning,Señuelo,Media,9.5,5.23,False,0.65
A0018,Sandeel Blue Lemon,Savage Gear,Spinning,Señuelo,Media,9.5,5.23,False,0.65
A0019,Stradic FL 4000 XG,Shimano,Spinning,Carrete,Media,190.0,104.5,False,0.0
A0020,Stradic FL 5000 XG,Shimano,Spinning,Carrete,Media,190.0,104.5,False,0.0
A0021,Americana Caja XL,Cebos Norte,Surfcasting,Cebo,Media,6.5,3.58,False,0.9
A0022,Tita Biby Caja,Cebos Sur,Surfcasting,Cebo,Media,8.5,4.68,False,0.95
A0023,Plomo Bala 120g,Turkana,Surfcasting,Terminal,Baja,2.5,1.38,False,0.0
A0024,Plomo Bala 130g,Turkana,Surfcasting,Terminal,Baja,2.5,1.38,False,0.0
A0025,Enygma 4.20m Hybrid,Vercelli,Surfcasting,Caña,Media,140.0,77.0,False,0.0
A0026,Sorcerer 150 Redhead,Halco,Curri,Señuelo,Alta,26.0,14.3,True,0.8
A0027,Sorcerer 150 Purple,Halco,Curri,Señuelo,Alta,26.0,14.3,True,0.8
A0028,Exciter Bird 130mm,Williamson,Curri,Señuelo,Media,22.0,12.1,True,0.6
A0029,Tiagra 50W LRS,Shimano,Curri,Carrete,Alta,850.0,467.5,True,0.0
A0030,Jigpara Vertical 100g Zebra,Major Craft,Jigging,Señuelo,Media,12.0,6.6,True,0.7
A0031,Jigpara Vertical 150g Pink,Major Craft,Jigging,Señuelo,Media,12.0,6.6,True,0.7
A0032,Anzuelo Kaiju 5/0,Mustad,Vivo,Terminal,Alta,9.0,4.95,True,0.5
A0033,Anzuelo Kaiju 7/0,Mustad,Vivo,Terminal,Alta,9.0,4.95,True,0.5
