id_captura,fecha,id_cliente,especie,peso,articulo_usado,zona
CAP-1,2024-07-04,C147,Anjova,4.4,A0018,Ria
CAP-2,2024-07-15,C147,Lubina,4.63,A0018,Playa
CAP-3,2024-05-27,C105,Espeton,1.61,A0011,Playa
CAP-4,2024-06-13,C105,Baila,1.05,A0011,Playa
CAP-5,2024-12-09,C178,Calamar,1.12,A0006,Playa
CAP-6,2024-10-30,C076,Herrera,0.47,A0022,Espigon
CAP-7,2024-11-01,C076,Herrera,0.46,A0022,Espigon
CAP-8,2024-11-26,C076,Herrera,0.38,A0022,Alta Mar
CAP-9,2024-08-31,C069,Bonito del Norte,11.66,A0028,Ria
CAP-10,2024-12-15,C044,Lubina,2.85,A0016,Espigon
CAP-11,2024-03-05,C129,Serviola,0.62,A0016,Ria
CAP-12,2024-03-23,C129,Baila,1.68,A0016,Espigon
CAP-13,2024-02-12,C088,Serviola,0.75,A0032,Espigon
CAP-14,2024-02-17,C088,Denton,3.42,A0032,Alta Mar
CAP-15,2024-10-20,C272,Llampuga,2.32,A0027,Espigon
CAP-16,2024-10-31,C272,Bonito del Norte,8.58,A0027,Espigon
CAP-17,2025-01-05,C062,Cabrilla,1.2,A0031,Ria
CAP-18,2024-12-30,C062,Denton,7.22,A0031,Alta Mar
CAP-19,2024-12-19,C296,Calamar,0.55,A0001,Alta Mar
CAP-20,2024-12-22,C296,Sepia,1.73,A0001,Alta Mar
CAP-21,2025-01-14,C296,Sepia,1.25,A0001,Alta Mar
CAP-22,2024-12-24,C296,Sepia,0.76,A0001,Alta Mar
CAP-23,2024-06-22,C157,Anjova,4.59,A0018,Alta Mar
CAP-24,2024-07-24,C157,Palometon,14.66,A0018,Playa
CAP-25,2024-07-30,C157,Jurel,1.06,A0018,Playa
CAP-26,2024-07-30,C157,Anjova,6.14,A0018,Espigon
CAP-27,2024-09-30,C113,Bonito del Norte,7.68,A0027,Ria
CAP-28,2024-04-04,C265,Calamar,1.15,A0005,Espigon
CAP-29,2024-03-29,C265,Calamar,0.99,A0005,Espigon
CAP-30,2024-04-04,C265,Calamar,0.74,A0005,Espigon
CAP-31,2024-06-05,C280,Cabrilla,1.44,A0030,Alta Mar
CAP-32,2024-02-15,C166,Anjova,6.45,A0011,Ria
CAP-33,2024-03-01,C166,Espeton,0.69,A0011,Espigon
CAP-34,2024-03-13,C166,Lubina,1.65,A0011,Espigon
CAP-35,2024-03-03,C166,Espeton,1.85,A0011,Ria
CAP-36,2024-06-29,C174,Serviola,1.56,A0032,Espigon
CAP-37,2024-04-22,C233,Lubina,2.28,A0021,Alta Mar
CAP-38,2024-05-12,C233,Herrera,0.28,A0021,Ria
CAP-39,2024-05-17,C293,Lubina,4.58,A0011,Ria
CAP-40,2024-06-08,C293,Baila,1.45,A0011,Alta Mar
CAP-41,2024-06-11,C293,Anjova,4.8,A0011,Ria
CAP-42,2024-07-01,C293,Baila,0.95,A0011,Alta Mar
CAP-43,2024-06-06,C195,San Pedro,0.87,A0030,Espigon
CAP-44,2024-05-11,C130,Lubina,1.58,A0017,Alta Mar
CAP-45,2024-12-18,C067,Lubina,1.09,A0013,Playa
CAP-46,2024-09-08,C040,Bonito del Norte,7.74,A0026,Alta Mar
CAP-47,2024-07-30,C175,Llampuga,6.56,A0027,Playa
CAP-48,2024-07-18,C175,Llampuga,2.37,A0027,Ria
CAP-49,2024-08-04,C175,Bonito del Norte,7.17,A0027,Alta Mar
CAP-50,2024-06-06,C128,Anjova,5.87,A0012,Alta Mar
CAP-51,2024-04-23,C282,Jurel,0.75,A0017,Ria
CAP-52,2024-05-11,C282,Lubina,1.29,A0017,Playa
CAP-53,2024-05-12,C282,Lubina,1.5,A0017,Espigon
CAP-54,2024-03-05,C129,Jurel,1.03,A0017,Playa
CAP-55,2024-02-24,C129,Baila,0.96,A0017,Playa
CAP-56,2024-09-10,C042,Llampuga,3.9,A0028,Espigon
CAP-57,2024-11-15,C188,Pargo,0.67,A0030,Espigon
CAP-58,2024-12-14,C188,Pargo,1.8,A0030,Playa
CAP-59,2024-08-08,C116,Melva,0.88,A0027,Ria
CAP-60,2024-08-25,C116,Llampuga,8.71,A0027,Playa
CAP-61,2024-01-25,C134,Corvina,13.55,A0021,Espigon
CAP-62,2024-02-15,C134,Lubina,1.22,A0021,Alta Mar
CAP-63,2024-02-04,C134,Herrera,0.51,A0021,Alta Mar
CAP-64,2024-09-19,C133,Llampuga,3.46,A0027,Alta Mar
CAP-65,2024-05-24,C210,Sama,8.07,A0031,Ria
CAP-66,2025-01-13,C036,Denton,2.66,A0031,Ria
CAP-67,2024-11-22,C182,Gallineta,1.09,A0031,Ria
CAP-68,2024-07-06,C048,Lubina,4.15,A0014,Ria
CAP-69,2024-09-02,C300,Sargo,0.47,A0021,Alta Mar
CAP-70,2024-08-31,C067,Lubina,3.77,A0013,Playa
CAP-71,2024-10-20,C029,Llampuga,5.18,A0027,Espigon
CAP-72,2024-10-24,C029,Bacoreta,1.12,A0027,Espigon
CAP-73,2024-08-12,C044,Baila,1.65,A0010,Espigon
CAP-74,2024-08-19,C044,Palometon,12.39,A0010,Playa
CAP-75,2024-09-11,C044,Anjova,3.16,A0010,Ria
CAP-76,2024-12-21,C188,Sama,6.26,A0031,Playa
CAP-77,2025-01-24,C188,Pargo,1.58,A0031,Playa
CAP-78,2025-01-24,C188,San Pedro,2.43,A0031,Playa
CAP-79,2024-03-24,C038,Baila,1.59,A0013,Ria
CAP-80,2024-04-04,C038,Lubina,1.65,A0013,Alta Mar
CAP-81,2024-04-13,C038,Palometon,12.05,A0013,Alta Mar
CAP-82,2024-04-06,C038,Lubina,4.55,A0013,Alta Mar
CAP-83,2024-05-03,C038,Baila,0.6,A0013,Playa
CAP-84,2024-05-11,C294,Mabra,1.12,A0022,Alta Mar
CAP-85,2024-05-12,C294,Sargo,0.9,A0022,Alta Mar
CAP-86,2024-05-03,C294,Sargo,0.9,A0022,Alta Mar
CAP-87,2024-05-19,C294,Mabra,0.78,A0022,Ria
CAP-88,2024-08-12,C299,Anjova,4.31,A0017,Alta Mar
CAP-89,2024-08-02,C299,Lubina,4.27,A0017,Espigon
CAP-90,2024-06-24,C230,Denton,3.45,A0033,Ria
CAP-91,2024-07-26,C230,Denton,2.96,A0033,Ria
CAP-92,2024-07-19,C230,Serviola,1.03,A0033,Playa
CAP-93,2024-11-30,C056,Calamar,0.38,A0001,Playa
CAP-94,2024-12-04,C056,Sepia,1.83,A0001,Playa
CAP-95,2024-12-29,C056,Sepia,1.77,A0001,Ria
CAP-96,2024-12-24,C056,Sepia,1.16,A0001,Playa
CAP-97,2024-06-23,C148,Bonito del Norte,4.96,A0028,Espigon
CAP-98,2024-07-06,C148,Llampuga,7.32,A0028,Ria
CAP-99,2024-07-28,C185,Bonito del Norte,12.37,A0027,Alta Mar
CAP-100,2024-07-21,C185,Bonito del Norte,14.6,A0027,Espigon
CAP-101,2024-05-09,C270,Cabrilla,1.26,A0030,Playa
CAP-102,2024-07-27,C089,Anjova,5.11,A0011,Alta Mar
CAP-103,2024-08-07,C089,Lubina,3.5,A0011,Ria
CAP-104,2024-09-03,C089,Anjova,4.63,A0011,Alta Mar
CAP-105,2024-09-02,C089,Lubina,4.21,A0011,Alta Mar
CAP-106,2024-09-03,C072,Lubina,0.99,A0014,Playa
