id_cliente,nombre,municipio,modalidad_pref,fecha_alta
C001,Cliente 1,Valencia,Spinning,2023-06-14
C002,Cliente 2,Cadiz,Curri,2023-07-14
C003,Cliente 3,Cadiz,Jigging,2023-04-09
C004,Cliente 4,Cadiz,Curri,2023-10-23
C005,Cliente 5,Santander,Vivo,2023-07-12
C006,Cliente 6,Cadiz,Surfcasting,2023-05-22
C007,Cliente 7,Cadiz,Jigging,2024-05-10
C008,Cliente 8,Santander,Eging,2024-03-20
C009,Cliente 9,Castellon,Vivo,2024-04-16
C010,Cliente 10,Valencia,Jigging,2023-10-14
C011,Cliente 11,Gijon,Vivo,2023-05-29
C012,Cliente 12,Alicante,Vivo,2023-04-05
C013,Cliente 13,Valencia,Surfcasting,2024-04-21
C014,Cliente 14,Santander,Eging,2023-10-19
C015,Cliente 15,Santander,Vivo,2024-05-11
C016,Cliente 16,Gijon,Curri,2023-06-12
C017,Cliente 17,Gijon,Surfcasting,2023-08-08
C018,Cliente 18,Santander,Vivo,2023-08-06
C019,Cliente 19,Valencia,Curri,2023-07-16
C020,Cliente 20,Castellon,Jigging,2023-03-23
C021,Cliente 21,Valencia,Vivo,2023-08-05
C022,Cliente 22,Castellon,Curri,2023-10-13
C023,Cliente 23,Cadiz,Surfcasting,2024-02-16
C024,Cliente 24,Gijon,Vivo,2023-10-23
C025,Cliente 25,Alicante,Jigging,2023-01-21
C026,Cliente 26,Valencia,Eging,2024-01-25
C027,Cliente 27,Cadiz,Eging,2024-02-14
C028,Cliente 28,Castellon,Eging,2023-06-19
C029,Cliente 29,Alicante,Curri,2023-08-31
C030,Cliente 30,Cadiz,Surfcasting,2023-09-20
C031,Cliente 31,Santander,Jigging,2023-03-11
C032,Cliente 32,Cadiz,Surfcasting,2023-11-09
C033,Cliente 33,Santander,Jigging,2023-02-10
C034,Cliente 34,Castellon,Jigging,2024-03-15
C035,Cliente 35,Valencia,Jigging,2024-03-03
C036,Cliente 36,Valencia,Jigging,2024-01-08
C037,Cliente 37,Alicante,Eging,2023-08-30
C038,Cliente 38,Gijon,Surfcasting,2023-06-29
C039,Cliente 39,Gijon,Surfcasting,2023-06-15
C040,Cliente 40,Alicante,Curri,2023-10-27
C041,Cliente 41,Valencia,Vivo,2023-05-05
C042,Cliente 42,Santander,Curri,2023-08-20
C043,Cliente 43,Alicante,Spinning,2023-04-17
C044,Cliente 44,Gijon,Spinning,2024-01-25
C045,Cliente 45,Alicante,Surfcasting,2023-05-11
C046,Cliente 46,Cadiz,Eging,2023-04-11
C047,Cliente 47,Castellon,Eging,2023-04-01
