id_pedido,fecha,proveedor,id_articulo,cantidad,estado
PROV-1,2024-01-01,Distribuidor Oficial,A0022,50,recibido
PROV-2,2024-06-01,Distribuidor Oficial,A0003,50,recibido
PROV-3,2024-05-01,Distribuidor Oficial,A0008,50,recibido
PROV-4,2024-07-01,Distribuidor Oficial,A0015,50,recibido
PROV-5,2024-09-01,Distribuidor Oficial,A0012,50,recibido
PROV-6,2024-10-01,Distribuidor Oficial,A0029,50,recibido
PROV-7,2024-05-01,Distribuidor Oficial,A0027,50,recibido
PROV-8,2024-05-01,Distribuidor Oficial,A0007,50,recibido
PROV-9,2024-04-01,Distribuidor Oficial,A0014,50,recibido
PROV-10,2024-10-01,Distribuidor Oficial,A0013,50,recibido
PROV-11,2024-05-01,Distribuidor Oficial,A0019,50,recibido
PROV-12,2024-09-01,Distribuidor Oficial,A0006,50,recibido
PROV-13,2024-09-01,Distribuidor Oficial,A0004,50,recibido
PROV-14,2024-06-01,Distribuidor Oficial,A0019,50,recibido
PROV-15,2024-08-01,Distribuidor Oficial,A0009,50,recibido
PROV-16,2024-01-01,Distribuidor Oficial,A0028,50,recibido
PROV-17,2024-08-01,Distribuidor Oficial,A0026,50,recibido
PROV-18,2024-08-01,Distribuidor Oficial,A0009,50,recibido
PROV-19,2024-10-01,Distribuidor Oficial,A0003,50,recibido
PROV-20,2024-05-01,Distribuidor Oficial,A0024,50,recibido
PROV-21,2024-01-01,Distribuidor Oficial,A0005,50,recibido
PROV-22,2024-01-01,Distribuidor Oficial,A0030,50,recibido
PROV-23,2024-08-01,Distribuidor Oficial,A0002,50,recibido
PROV-24,2024-09-01,Distribuidor Oficial,A0007,50,recibido
PROV-25,2024-04-01,Distribuidor Oficial,A0019,50,recibido
PROV-26,2024-04-01,Distribuidor Oficial,A0010,50,recibido
PROV-27,2024-02-01,Distribuidor Oficial,A0014,50,recibido
PROV-28,2024-01-01,Distribuidor Oficial,A0001,50,recibido
PROV-29,2024-04-01,Distribuidor Oficial,A0009,50,recibido
PROV-30,2024-07-01,Distribuidor Oficial,A0025,50,recibido
PROV-31,2024-04-01,Distribuidor Oficial,A0018,50,recibido
PROV-32,2024-06-01,Distribuidor Oficial,A0005,50,recibido
PROV-33,2024-07-01,Distribuidor Oficial,A0004,50,recibido
PROV-34,2024-06-01,Distribuidor Oficial,A0033,50,recibido
PROV-35,2024-10-01,Distribuidor Oficial,A0020,50,recibido
PROV-36,2024-07-01,Distribuidor Oficial,A0008,50,recibido
PROV-37,2024-09-01,Distribuidor Oficial,A0019,50,recibido
PROV-38,2024-01-01,Distribuidor Oficial,A0012,50,recibido
PROV-39,2024-07-01,Distribuidor Oficial,A0025,50,recibido
PROV-40,2024-03-01,Distribuidor Oficial,A0018,50,recibido
PROV-41,2024-01-01,Distribuidor Oficial,A0031,50,recibido
PROV-42,2024-05-01,Distribuidor Oficial,A0031,50,recibido
PROV-43,2024-09-01,Distribuidor Oficial,A0014,50,recibido
PROV-44,2024-08-01,Distribuidor Oficial,A0012,50,recibido
PROV-45,2024-02-01,Distribuidor Oficial,A0006,50,recibido
PROV-46,2024-05-01,Distribuidor Oficial,A0007,50,recibido
PROV-47,2024-09-01,Distribuidor Oficial,A0004,50,recibido
PROV-48,2024-05-01,Distribuidor Oficial,A0027,50,recibido
PROV-49,2024-09-01,Distribuidor Oficial,A0009,50,recibido
PROV-50,2024-02-01,Distribuidor Oficial,A0011,50,recibido
PROV-51,2024-06-01,Distribuidor Oficial,A0025,50,recibido
PROV-52,2024-07-01,Distribuidor Oficial,A0018,50,recibido
PROV-53,2024-03-01,Distribuidor Oficial,A0006,50,recibido
PROV-54,2024-02-01,Distribuidor Oficial,A0012,50,recibido
PROV-55,2024-10-01,Distribuidor Oficial,A0014,50,recibido
PROV-56,2024-05-01,Distribuidor Oficial,A0017,50,recibido
PROV-57,2024-04-01,Distribuidor Oficial,A0010,50,recibido
PROV-58,2024-04-01,Distribuidor Oficial,A0017,50,recibido
PROV-59,2024-07-01,Distribuidor Oficial,A0013,50,recibido
PROV-60,2024-06-01,Distribuidor Oficial,A0032,50,recibido
PROV-61,2024-01-01,Distribuidor Oficial,A0030,50,recibido
PROV-62,2024-03-01,Distribuidor Oficial,A0030,50,recibido
PROV-63,2024-07-01,Distribuidor Oficial,A0002,50,recibido
PROV-64,2024-10-01,Distribuidor Oficial,A0025,50,recibido
PROV-65,2024-08-01,Distribuidor Oficial,A0007,50,recibido
PROV-66,2024-08-01,Distribuidor Oficial,A0009,50,recibido
PROV-67,2024-02-01,Distribuidor Oficial,A0004,50,recibido
PROV-68,2024-04-01,Distribuidor Oficial,A0007,50,recibido
PROV-69,2024-05-01,Distribuidor Oficial,A0002,50,recibido
PROV-70,2024-08-01,Distribuidor Oficial,A0017,50,recibido
PROV-71,2024-01-01,Distribuidor Oficial,A0012,50,recibido
PROV-72,2024-08-01,Distribuidor Oficial,A0002,50,recibido
PROV-73,2024-09-01,Distribuidor Oficial,A0004,50,recibido
PROV-74,2024-07-01,Distribuidor Oficial,A0008,50,recibido
PROV-75,2024-07-01,Distribuidor Oficial,A0017,50,recibido
PROV-76,2024-07-01,Distribuidor Oficial,A0022,50,recibido
PROV-77,2024-04-01,Distribuidor Oficial,A0033,50,recibido
PROV-78,2024-08-01,Distribuidor Oficial,A0012,50,recibido
PROV-79,2024-06-01,Distribuidor Oficial,A0022,50,recibido
PROV-80,2024-01-01,Distribuidor Oficial,A0028,50,recibido
PROV-81,2024-04-01,Distribuidor Oficial,A0031,50,recibido
PROV-82,2024-02-01,Distribuidor Oficial,A0030,50,recibido
PROV-83,2024-10-01,Distribuidor Oficial,A0031,50,recibido
PROV-84,2024-02-01,Distribuidor Oficial,A0032,50,recibido
PROV-85,2024-06-01,Distribuidor Oficial,A0003,50,recibido
PROV-86,2024-01-01,Distribuidor Oficial,A0005,50,recibido
PROV-87,2024-08-01,Distribuidor Oficial,A0007,50,recibido
PROV-88,2024-05-01,Distribuidor Oficial,A0001,50,recibido
PROV-89,2024-02-01,Distribuidor Oficial,A0010,50,recibido
PROV-90,2024-02-01,Distribuidor Oficial,A0018,50,recibido
PROV-91,2024-06-01,Distribuidor Oficial,A0005,50,recibido
PROV-92,2024-09-01,Distribuidor Oficial,A0011,50,recibido
PROV-93,2024-04-01,Distribuidor Oficial,A0030,50,recibido
PROV-94,2024-04-01,Distribuidor Oficial,A0022,50,recibido
PROV-95,2024-04-01,Distribuidor Oficial,A0033,50,recibido
PROV-96,2024-02-01,Distribuidor Oficial,A0015,50,recibido
PROV-97,2024-04-01,Distribuidor Oficial,A0005,50,recibido
PROV-98,2024-02-01,Distribuidor Oficial,A0005,50,recibido
PROV-99,2024-04-01,Distribuidor Oficial,A0014,50,recibido
PROV-100,2024-10-01,Distribuidor Oficial,A0026,50,recibido
PROV-101,2024-07-01,Distribuidor Oficial,A0001,50,recibido
PROV-102,2024-06-01,Distribuidor Oficial,A0031,50,recibido
PROV-103,2024-08-01,Distribuidor Oficial,A0001,50,recibido
PROV-104,2024-04-01,Distribuidor Oficial,A0031,50,recibido
PROV-105,2024-04-01,Distribuidor Oficial,A0006,50,recibido
PROV-106,2024-01-01,Distribuidor Oficial,A0027,50,recibido
PROV-107,2024-01-01,Distribuidor Oficial,A0015,50,recibido
PROV-108,2024-06-01,Distribuidor Oficial,A0003,50,recibido
PROV-109,2024-07-01,Distribuidor Oficial,A0033,50,recibido
PROV-110,2024-06-01,Distribuidor Oficial,A0026,50,recibido
PROV-111,2024-07-01,Distribuidor Oficial,A0006,50,recibido
PROV-112,2024-05-01,Distribuidor Oficial,A0028,50,recibido
PROV-113,2024-06-01,Distribuidor Oficial,A0017,50,recibido
PROV-114,2024-04-01,Distribuidor Oficial,A0004,50,recibido
PROV-115,2024-02-01,Distribuidor Oficial,A0032,50,recibido
PROV-116,2024-10-01,Distribuidor Oficial,A0013,50,recibido
PROV-117,2024-08-01,Distribuidor Oficial,A0014,50,recibido
PROV-118,2024-07-01,Distribuidor Oficial,A0016,50,recibido
PROV-119,2024-07-01,Distribuidor Oficial,A0030,50,recibido
PROV-120,2024-02-01,Distribuidor Oficial,A0011,50,recibido
PROV-121,2024-04-01,Distribuidor Oficial,A0001,50,recibido
PROV-122,2024-03-01,Distribuidor Oficial,A0028,50,recibido
PROV-123,2024-08-01,Distribuidor Oficial,A0020,50,recibido
PROV-124,2024-03-01,Distribuidor Oficial,A0025,50,recibido
PROV-125,2024-02-01,Distribuidor Oficial,A0008,50,recibido
PROV-126,2024-03-01,Distribuidor Oficial,A0023,50,recibido
