id_ticket,fecha,id_cliente,id_articulo,cantidad,total
T-00001,2024-06-25,C147,A0018,2,9.5
T-00002,2024-05-13,C105,A0011,1,13.5
T-00003,2024-11-25,C178,A0006,3,14.5
T-00004,2024-07-15,C002,A0029,1,850.0
T-00005,2024-09-28,C219,A0029,2,850.0
T-00006,2024-10-28,C076,A0022,1,8.5
T-00007,2024-08-06,C069,A0028,3,22.0
T-00008,2024-12-09,C044,A0016,1,19.0
T-00009,2024-02-27,C129,A0016,1,19.0
T-00010,2024-01-27,C178,A0009,2,155.0
T-00011,2024-01-20,C088,A0032,3,9.0
T-00012,2024-09-27,C272,A0027,2,26.0
T-00013,2024-06-07,C292,A0027,3,26.0
T-00014,2024-10-02,C279,A0025,2,140.0
T-00015,2024-12-18,C062,A0031,3,12.0
T-00016,2024-12-02,C296,A0001,3,23.0
T-00017,2024-06-18,C157,A0018,1,9.5
T-00018,2024-08-24,C113,A0027,2,26.0
T-00019,2024-02-27,C265,A0005,3,14.5
T-00020,2024-05-24,C280,A0030,2,12.0
T-00021,2024-03-20,C190,A0033,1,9.0
T-00022,2024-02-19,C134,A0007,2,9.0
T-00023,2024-02-02,C166,A0011,3,13.5
T-00024,2024-03-28,C102,A0023,2,2.5
T-00025,2024-09-28,C110,A0025,2,140.0
T-00026,2024-05-27,C174,A0032,3,9.0
T-00027,2024-09-14,C018,A0033,3,9.0
T-00028,2024-04-17,C233,A0021,2,6.5
T-00029,2024-05-06,C035,A0030,2,12.0
T-00030,2024-05-14,C293,A0011,3,13.5
T-00031,2024-05-24,C195,A0030,1,12.0
T-00032,2024-07-20,C079,A0029,2,850.0
T-00033,2024-04-14,C130,A0017,3,9.5
T-00034,2024-12-15,C067,A0013,3,32.0
T-00035,2024-02-16,C291,A0030,3,12.0
T-00036,2024-08-18,C040,A0026,1,26.0
T-00037,2024-02-10,C195,A0024,2,2.5
T-00038,2024-07-02,C175,A0027,1,26.0
T-00039,2024-05-11,C128,A0012,1,13.5
T-00040,2024-04-13,C282,A0017,2,9.5
T-00041,2024-11-06,C213,A0001,2,23.0
T-00042,2024-10-02,C130,A0018,2,9.5
T-00043,2024-02-16,C129,A0017,3,9.5
T-00044,2024-09-02,C042,A0028,3,22.0
T-00045,2024-11-09,C188,A0030,1,12.0
T-00046,2024-07-12,C116,A0027,1,26.0
T-00047,2024-01-12,C134,A0021,1,6.5
T-00048,2024-09-05,C133,A0027,2,26.0
T-00049,2024-11-13,C058,A0033,2,9.0
T-00050,2024-04-27,C210,A0031,2,12.0
T-00051,2024-12-28,C036,A0031,3,12.0
T-00052,2024-10-25,C182,A0031,2,12.0
T-00053,2024-02-26,C263,A0030,2,12.0
T-00054,2024-06-22,C048,A0014,1,32.0
T-00055,2024-08-06,C300,A0021,3,6.5
T-00056,2024-08-13,C067,A0013,3,32.0
T-00057,2024-09-27,C029,A0027,2,26.0
T-00058,2024-07-19,C044,A0010,2,13.5
T-00059,2024-02-03,C272,A0008,1,155.0
T-00060,2024-01-03,C106,A0025,3,140.0
T-00061,2024-12-17,C188,A0031,3,12.0
T-00062,2024-03-10,C038,A0013,3,32.0
T-00063,2024-04-25,C294,A0022,1,8.5
T-00064,2024-07-13,C299,A0017,2,9.5
T-00065,2024-06-23,C230,A0033,1,9.0
T-00066,2024-09-18,C012,A0032,2,9.0
T-00067,2024-11-23,C056,A0001,2,23.0
T-00068,2024-01-18,C064,A0008,2,155.0
T-00069,2024-06-08,C148,A0028,2,22.0
T-00070,2024-07-07,C185,A0027,2,26.0
T-00071,2024-04-10,C270,A0030,1,12.0
T-00072,2024-11-02,C104,A0008,1,155.0
T-00073,2024-08-24,C266,A0020,2,190.0
T-00074,2024-04-11,C221,A0018,2,9.5
T-00075,2024-01-24,C132,A0004,2,14.5
T-00076,2024-07-25,C089,A0011,3,13.5
T-00077,2024-08-06,C072,A0014,3,32.0
T-00078,2024-10-02,C225,A0018,1,9.5
T-00079,2024-02-25,C006,A0022,1,8.5
T-00080,2024-02-21,C001,A0014,1,32.0
T-00081,2024-10-24,C156,A0006,2,14.5
T-00082,2024-11-26,C047,A0005,2,14.5
T-00083,2024-07-05,C096,A0029,2,850.0
T-00084,2024-07-27,C199,A0026,2,26.0
T-00085,2024-05-24,C121,A0032,1,9.0
T-00086,2024-02-12,C226,A0010,3,13.5
T-00087,2024-04-18,C233,A0021,2,6.5
T-00088,2024-12-11,C223,A0033,2,9.0
T-00089,2024-05-26,C079,A0018,3,9.5
