result_id,race_id,driver,position,points,status
RES-001,R-001,Max Verstappen,1,25,Finished
RES-002,R-001,Lewis Hamilton,2,18,Finished
RES-003,R-001,Fernando Alonso,3,15,Finished
RES-004,R-001,Kimi Räikkönen,0,0,DNF
RES-005,R-002,Max Verstappen,1,25,Finished
RES-006,R-002,Lewis Hamilton,2,18,Finished
RES-007,R-002,Sebastian Vettel,3,15,Finished
RES-008,R-002,Fernando Alonso,0,0,DNF
RES-009,R-003,Lewis Hamilton,1,25,Finished
RES-010,R-003,Max Verstappen,2,18,Finished
RES-011,R-003,Nigel Mansell,3,15,Finished
RES-012,R-003,Damon Hill,0,0,DNF
RES-013,R-004,Max Verstappen,1,25,Finished
RES-014,R-004,Lewis Hamilton,2,18,Finished
RES-015,R-004,Fernando Alonso,3,15,Finished
RES-016,R-004,Sebastian Vettel,0,0,DNF
RES-017,R-005,Max Verstappen,1,25,Finished
RES-018,R-005,Lewis Hamilton,2,18,Finished
RES-019,R-005,Alain Prost,3,15,Finished
RES-020,R-005,Ayrton Senna,0,0,DNF
RES-021,R-006,Lewis Hamilton,1,25,Finished
RES-022,R-006,Max Verstappen,2,18,Finished
RES-023,R-006,Fernando Alonso,3,15,Finished
RES-024,R-006,Nigel Mansell,0,0,DNF
RES-025,R-007,Max Verstappen,1,25,Finished
RES-026,R-007,Lewis Hamilton,2,18,Finished
RES-027,R-007,Ayrton Senna,3,15,Finished
RES-028,R-007,Alain Prost,0,0,DNF
RES-029,R-008,Lewis Hamilton,1,25,Finished
RES-030,R-008,Max Verstappen,2,18,Finished
RES-031,R-008,Sebastian Vettel,3,15,Finished
RES-032,R-008,Fernando Alonso,0,0,DNF
RES-033,R-009,Max Verstappen,1,25,Finished
RES-034,R-009,Lewis Hamilton,2,18,Finished
RES-035,R-009,Fernando Alonso,3,15,Finished
RES-036,R-009,Damon Hill,0,0,DNF
RES-037,R-010,Lewis Hamilton,1,25,Finished
RES-038,R-010,Max Verstappen,2,18,Finished
RES-039,R-010,Nigel Mansell,3,15,Finished
RES-040,R-010,Kimi Räikkönen,0,0,DNF
