rank,driver,nationality,wins,championships,years_active,team_most_wins_with
1,Lewis Hamilton,British,103,7,2007-present,Mercedes
2,Michael Schumacher,German,91,7,1991-2006 / 2010-2012,Ferrari
3,Max Verstappen,Dutch,63,4,2015-present,Red Bull
4,Sebastian Vettel,German,53,4,2007-2022,Red Bull
5,Alain Prost,French,51,4,1980-1993,McLaren
6,Ayrton Senna,Brazilian,41,3,1984-1994,McLaren
7,Fernando Alonso,Spanish,32,2,2001-present,Renault
8,Nigel Mansell,British,31,1,1980-1995,Williams
9,Jackie Stewart,British,27,3,1965-1973,Tyrrell
10,Jim Clark,British,25,2,1960-1968,Lotus
11,Niki Lauda,Austrian,25,3,1971-1979 / 1982-1985,Ferrari
12,Juan Manuel Fangio,Argentine,24,5,1950-1958,Mercedes
13,Nelson Piquet,Brazilian,23,3,1978-1991,Brabham / Williams
14,Damon Hill,British,22,1,1992-1999,Williams
15,Kimi Räikkönen,Finnish,21,1,2001-2021,Ferrari
16,Mika Häkkinen,Finnish,20,2,1991-2001,McLaren
17,Stirling Moss,British,16,0,1951-1961,Maserati / Vanwall
18,Jenson Button,British,15,1,2000-2017,Brawn GP
19,Jack Brabham,Australian,14,3,1955-1970,Cooper / Brabham
20,Emerson Fittipaldi,Brazilian,14,2,1970-1980,Lotus / McLaren
21,Graham Hill,British,14,2,1958-1975,Lotus / BRM
22,Alberto Ascari,Italian,13,2,1950-1955,Ferrari
23,David Coulthard,British,13,0,1994-2008,McLaren
24,Mario Andretti,American,12,1,1968-1982,Lotus
25,Carlos Reutemann,Argentine,12,0,1972-1982,Williams
26,Alan Jones,Australian,12,1,1975-1986,Williams
27,Rubens Barrichello,Brazilian,11,0,1993-2011,Ferrari
28,Felipe Massa,Brazilian,11,0,2002-2017,Ferrari
29,Jody Scheckter,South African,10,1,1972-1980,Ferrari
30,Gerhard Berger,Austrian,10,0,1984-1997,Ferrari / McLaren
