date,checkin_booking,status,partner,class_type
"2025-02-01T10:18:01.028+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-04T18:15:00.000+00:00",Booking,CANCELLED,"TRIB3 Granvia Valencia",on-site
"2025-02-05T18:35:02.957+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-06T13:22:36.778+00:00",Checkin,COMPLETED,"RZ75 TRAINING STUDIO",on-site
"2025-02-09T10:00:00.000+00:00",Booking,COMPLETED,"Begood Viveros",on-site
"2025-02-09T10:00:00.000+00:00",Checkin,COMPLETED,"Begood Viveros",on-site
"2025-02-10T18:37:24.183+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-11T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-11T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-13T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-13T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-15T09:56:23.274+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-17T18:32:13.728+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-19T18:42:20.753+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-20T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-20T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-24T18:24:29.080+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-02-26T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-02-26T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-01T09:48:48.483+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-03-03T18:24:30.859+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-03-04T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-04T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-06T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-06T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-10T18:32:11.107+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-03-11T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-11T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-13T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-13T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-15T10:07:32.094+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-03-20T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-20T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-03-26T18:45:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-03-26T18:45:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-03-27T18:15:00.000+00:00",Booking,NOT_VALIDATED,"TRIB3 Granvia Valencia",on-site
"2025-03-27T18:15:00.000+00:00",Checkin,NOT_VALIDATED,"TRIB3 Granvia Valencia",on-site
"2025-03-29T10:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-03-29T10:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-03-30T16:37:33.024+00:00",Checkin,COMPLETED,"Bikram Yoga Valencia",on-site
"2025-03-31T17:45:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-03-31T17:45:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-04-01T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-01T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-03T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-03T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-07T17:45:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-04-07T17:45:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-04-08T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-08T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-09T17:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-04-09T17:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-04-10T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-10T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-12T09:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-04-12T09:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-04-13T16:52:37.969+00:00",Checkin,COMPLETED,"Bikram Yoga Valencia",on-site
