"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Lunge",,"",0,"normal",,20,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Lunge",,"",1,"normal",,20,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Lunge",,"",2,"normal",,20,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Lunge",,"",3,"normal",,20,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Push Up",,"",0,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Push Up",,"",1,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Push Up",,"",2,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Push Up",,"",3,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Kettlebell Swing",,"",0,"normal",12,15,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Kettlebell Swing",,"",1,"normal",12,15,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Kettlebell Swing",,"",2,"normal",16,15,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Kettlebell Swing",,"",3,"normal",16,15,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Plank",,"",0,"normal",,,,45,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Plank",,"",1,"normal",,,,45,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Plank",,"",2,"normal",,,,45,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Plank",,"",3,"normal",,,,45,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Burpee",,"",0,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Burpee",,"",1,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Burpee",,"",2,"normal",,10,,,
"Full body - 4 vueltas 🤸🏼","4 Jun 2026, 10:53","4 Jun 2026, 11:32","","Burpee",,"",3,"normal",,10,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Bench Press (Barbell)",,"",0,"normal",55,8,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Bench Press (Barbell)",,"",1,"normal",52.5,7,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Bench Press (Barbell)",,"",2,"normal",50,7,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Pull Up (Assisted)",,"",0,"normal",35,6,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Pull Up (Assisted)",,"",1,"normal",40,8,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Pull Up (Assisted)",,"",2,"normal",40,4,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Pull Up (Assisted)",,"",3,"normal",45,8,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Overhead Press (Dumbbell)",0,"",0,"normal",16,10,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Overhead Press (Dumbbell)",0,"",1,"normal",20,10,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Overhead Press (Dumbbell)",0,"",2,"normal",20,10,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Dumbbell Row",0,"",0,"normal",16,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Dumbbell Row",0,"",1,"normal",18,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Dumbbell Row",0,"",2,"normal",20,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Single Arm Lateral Raise (Cable)",,"",0,"normal",5,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Single Arm Lateral Raise (Cable)",,"",1,"normal",5,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Single Arm Lateral Raise (Cable)",,"",2,"normal",5,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Single Arm Curl (Cable)",,"",0,"normal",9,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Single Arm Curl (Cable)",,"",1,"normal",14,16,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Single Arm Curl (Cable)",,"",2,"normal",14,16,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Triceps Extension (Cable)",,"",0,"normal",9,16,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Triceps Extension (Cable)",,"",1,"normal",9,16,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Triceps Extension (Cable)",,"",2,"normal",9,16,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Cable Twist (Up to down)",,"",0,"normal",10,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Cable Twist (Up to down)",,"",1,"normal",10,30,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Cable Twist (Down to up)",,"",0,"normal",10,20,,,
"Push, Pull & Core 💪🏼","2 Jun 2026, 10:38","2 Jun 2026, 12:23","","Cable Twist (Down to up)",,"",1,"normal",10,20,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Squat (Barbell)",,"",0,"normal",60,8,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Squat (Barbell)",,"",1,"normal",60,8,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Squat (Barbell)",,"",2,"normal",60,8,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Romanian Deadlift (Barbell)",,"",0,"normal",40,10,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Romanian Deadlift (Barbell)",,"",1,"normal",40,10,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Romanian Deadlift (Barbell)",,"",2,"normal",40,10,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Bulgarian Split Squat",,"",0,"normal",8,20,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Bulgarian Split Squat",,"",1,"normal",8,20,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Bulgarian Split Squat",,"",2,"normal",8,20,,,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Copenhague Plank",,"",0,"normal",,,,15,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Copenhague Plank",,"",1,"normal",,,,15,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Copenhague Plank",,"",2,"normal",,,,20,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Copenhague Plank",,"",3,"normal",,,,20,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Copenhague Plank",,"",4,"normal",,,,20,
"Pierna 🦵🏼","29 May 2026, 11:51","29 May 2026, 12:54","","Copenhague Plank",,"",5,"normal",,,,20,
"Entrene Futsal post-season","28 May 2026, 10:30","28 May 2026, 12:00","","Sprints",,"",0,"normal",,,,5400,
"Entrene Futsal post-season","25 May 2026, 10:31","25 May 2026, 12:01","","Sprints",,"Entrene futsal",0,"normal",,,,5400,
"Push & Pull 💪🏼","22 May 2026, 11:27","22 May 2026, 12:35","","Pull Up (Assisted)",,"",0,"normal",35,7,,,
"Push & Pull 💪🏼","22 May 2026, 11:27","22 May 2026, 12:35","","Pull Up (Assisted)",,"",1,"normal",35,5,,,
"Push & Pull 💪🏼","22 May 2026, 11:27","22 May 2026, 12:35","","Pull Up (Assisted)",,"",2,"normal",40,7,,,
"Push & Pull 💪🏼","22 May 2026, 11:27","22 May 2026, 12:35","","Pull Up (Assisted)",,"",3,"normal",40,5,,,
"Push & Pull 💪🏼","22 May 2026, 11:27","22 May 2026, 12:35","","Bench Press (Barbell)",,"",0,"normal",50,8,,,
