id_jugador,Posicion,Nombre,Nacionalidad,Club_Actual,Edad,Posicion_Campo,Balones_de_Oro,fecha_nacimiento,fecha_ultimo_partido,fecha_proximo_partido,salario_anual_millones,valor_mercado_millones,goles_temporada,asistencias_temporada,minutos_jugados,estado
JUG001,1,Lionel Messi,Argentina,Inter Miami,36,Delantero,8,1989-06-24,2026-05-25,2026-06-15,20.0,35.0,14,8,2100,activo
JUG002,2,Cristiano Ronaldo,Portugal,Al-Nassr,39,Delantero,5,1985-02-05,2026-05-20,2026-06-10,30.0,25.0,18,4,2250,activo
JUG003,3,Kylian Mbappe,Francia,Real Madrid,25,Delantero,0,2001-12-20,2026-06-01,2026-06-08,25.0,200.0,32,12,2700,activo
JUG004,4,Erling Haaland,Noruega,Manchester City,23,Delantero,0,2003-07-21,2026-06-01,2026-06-08,20.0,180.0,35,6,2520,activo
JUG005,5,Vinicius Jr,Brasil,Real Madrid,23,Extremo,0,2003-07-12,2026-06-01,2026-06-08,18.0,180.0,24,15,2650,activo
JUG006,6,Neymar Jr,Brasil,Al-Hilal,32,Extremo,0,1994-02-05,2026-03-10,2026-08-20,35.0,40.0,5,3,810,lesionado
JUG007,7,Kevin De Bruyne,Belgica,Manchester City,32,Centrocampista,0,1994-06-28,2026-06-01,2026-06-08,20.0,90.0,8,18,2200,activo
JUG008,8,Lamine Yamal,España,FC Barcelona,16,Extremo,0,2010-07-13,2026-06-04,2026-06-11,5.0,150.0,20,18,2580,activo
JUG009,9,Rodri,España,Manchester City,27,Centrocampista,1,1999-06-22,2026-06-01,2026-06-08,15.0,120.0,6,10,2400,activo
JUG010,10,Jude Bellingham,Inglaterra,Real Madrid,20,Centrocampista,0,2006-06-29,2026-06-01,2026-06-08,15.0,180.0,18,10,2550,activo
JUG011,11,Mohamed Salah,Egipto,Liverpool,31,Extremo,0,1995-06-15,2026-06-04,2026-06-11,18.0,80.0,28,12,2600,activo
JUG012,12,Robert Lewandowski,Polonia,FC Barcelona,35,Delantero,0,1991-08-21,2026-06-04,2026-06-11,16.0,30.0,22,5,2350,activo
JUG013,13,Harry Kane,Inglaterra,Bayern Munich,30,Delantero,0,1996-07-28,2026-05-31,2026-06-07,20.0,80.0,30,8,2700,activo
JUG014,14,Pedri,España,FC Barcelona,21,Centrocampista,0,2005-11-25,2026-04-15,2026-07-01,8.0,100.0,7,11,1500,lesionado
JUG015,15,Bernardo Silva,Portugal,Manchester City,29,Centrocampista,0,1997-08-10,2026-06-01,2026-06-08,14.0,80.0,9,14,2500,activo
JUG016,16,Virgil van Dijk,Holanda,Liverpool,32,Defensa,0,1994-07-08,2026-06-04,2026-06-11,12.0,50.0,3,2,2700,activo
JUG017,17,Trent Alexander-Arnold,Inglaterra,Liverpool,25,Defensa,0,2001-10-07,2026-06-04,2026-06-11,10.0,80.0,5,14,2600,activo
JUG018,18,Phil Foden,Inglaterra,Manchester City,23,Centrocampista,0,2003-05-28,2026-06-01,2026-06-08,12.0,130.0,15,12,2450,activo
JUG019,19,Federico Valverde,Uruguay,Real Madrid,25,Centrocampista,0,2001-07-22,2026-06-01,2026-06-08,10.0,120.0,10,9,2700,activo
JUG020,20,Ruben Dias,Portugal,Manchester City,26,Defensa,0,2000-05-14,2026-06-01,2026-06-08,9.0,80.0,2,1,2600,activo
JUG021,21,Antoine Griezmann,Francia,Atletico de Madrid,32,Delantero,0,1994-03-21,2026-06-03,2026-06-10,12.0,35.0,14,10,2400,activo
JUG022,22,Bukayo Saka,Inglaterra,Arsenal,22,Extremo,0,2004-09-05,2026-06-03,2026-06-10,10.0,130.0,18,14,2650,activo
JUG023,23,Gavi,España,FC Barcelona,19,Centrocampista,0,2007-08-05,2026-05-01,2026-08-01,6.0,80.0,3,6,900,lesionado
JUG024,24,Karim Benzema,Francia,Al-Ittihad,36,Delantero,1,1990-12-19,2026-05-28,2026-06-12,30.0,20.0,16,6,2100,activo
JUG025,25,Raphinha,Brasil,FC Barcelona,27,Extremo,0,1999-12-14,2026-06-04,2026-06-11,9.0,80.0,19,13,2600,activo
JUG026,26,Alisson Becker,Brasil,Liverpool,31,Portero,0,1995-10-02,2026-06-04,2026-06-11,10.0,50.0,0,0,2700,activo
JUG027,27,Manuel Neuer,Alemania,Bayern Munich,38,Portero,0,1988-03-27,2026-05-31,2026-06-07,10.0,10.0,0,0,2250,activo
JUG028,28,Leroy Sane,Alemania,Bayern Munich,28,Extremo,0,1998-01-11,2026-05-31,2026-06-07,11.0,60.0,12,10,2300,activo
JUG029,29,Martin Odegaard,Noruega,Arsenal,25,Centrocampista,0,2001-12-17,2026-06-03,2026-06-10,12.0,100.0,11,14,2550,activo
JUG030,30,Jamal Musiala,Alemania,Bayern Munich,21,Centrocampista,0,2005-02-26,2026-05-31,2026-06-07,10.0,150.0,17,13,2600,activo
