station_id,station_name,available_bikes,available_bike_stands,state_station,total_capacity,time
26,San José de Calasanz - Salas Quiroga,6,8,T,15,2025-11-23T12:37:42+00:00
93,Blasco Ibañez - Poeta Durán Tortajada,16,19,T,38,2025-11-23T12:37:10+00:00
27,San Vicente Martir - Doctor Vilá Barberá,16,4,T,20,2025-11-23T12:34:46+00:00
36,Plaza de los Fueros - Conde Trenor,6,19,T,25,2025-11-23T12:37:47+00:00
35,Regne de Valencia - Almirante Cadarso,1,9,T,20,2025-11-23T12:36:05+00:00
37,Peris y Valero - Luis Santángel,2,18,T,20,2025-11-23T12:35:53+00:00
67,Juan Verdeguer - Toneleros,9,5,T,14,2025-11-23T12:37:33+00:00
30,Cirilo Amorós - Jorge Juan (Mercado Colón),11,9,T,20,2025-11-23T12:33:49+00:00
48,Antonio Ferrandis - General Urrutia,9,11,T,20,2025-11-23T12:36:30+00:00
52,Luis García Berlanga Martí - Menorca,25,0,T,25,2025-11-23T12:34:55+00:00
79,Aragón - Ernesto Ferrer,11,8,T,20,2025-11-23T12:36:35+00:00
81,Micer Mascó - Rodriguez Fornos,3,17,T,20,2025-11-23T12:29:03+00:00
82,Guillem de Castro (Torres de Quart),7,6,T,15,2025-11-23T12:37:29+00:00
88,"Blasco Ibañez, 28 (F. Geografía e Historia)",5,35,T,40,2025-11-23T12:32:38+00:00
98,Justo y Pastor - Duque de Gaeta,7,8,T,15,2025-11-23T12:38:20+00:00
7,Plaza del Mercado - Taula de Canvis,6,12,T,19,2025-11-23T12:38:08+00:00
11,Plaza Ayuntamiento - Cotanda,4,23,T,27,2025-11-23T12:35:31+00:00
15,Ribera - Plaza Ayuntamiento,2,27,T,34,2025-11-23T12:33:10+00:00
21,Juan Llorens - Literato Gabriel Miró,2,14,T,16,2025-11-23T12:32:00+00:00
14,Huesca - Barón de Cárcer,1,18,T,20,2025-11-23T12:36:02+00:00
22,Angel Guimerá - Juan Llorens,4,11,T,15,2025-11-23T12:31:37+00:00
45,Hermanos Maristas - General Urrutia,15,0,T,15,2025-11-23T12:34:57+00:00
49,Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),21,4,T,25,2025-11-23T12:29:30+00:00
51,Moreras (Oceanográfico),9,11,T,20,2025-11-23T12:32:57+00:00
53,Alameda - Pintor Maella,23,1,T,25,2025-11-23T12:30:25+00:00
55,Francia - Pintor Maella,25,0,T,25,2025-11-23T12:36:56+00:00
57,Alameda - Pintor Monleón,9,9,T,20,2025-11-23T12:36:17+00:00
61,Vicent Vidal - Pintor Maella,10,10,T,20,2025-11-23T12:33:03+00:00
63,Av Puerto 19 (Telefónica),0,20,T,20,2025-11-23T12:37:47+00:00
83,General Elio - Llano del Real,5,20,T,25,2025-11-23T12:30:34+00:00
64,Av. Puerto 61-63,8,12,T,20,2025-11-23T12:37:55+00:00
84,"Serrería, 67",11,4,T,15,2025-11-23T12:32:13+00:00
92,Blasco Ibañez - Aragón,0,20,T,20,2025-11-23T12:32:09+00:00
97,Blasco Ibañez 121,8,15,T,23,2025-11-23T12:36:13+00:00
76,Campoamor - Músico Ginés,7,12,T,19,2025-11-23T12:33:53+00:00
78,Aragón - Vicente Sancho Tello,14,6,T,20,2025-11-23T12:38:20+00:00
43,Escultor José Capuz - Oriente,17,3,T,20,2025-11-23T12:33:24+00:00
90,"Blasco Ibañez, 32 (F. Filología)",1,38,T,40,2025-11-23T12:38:18+00:00
148,C/Xàtiva 30-32,0,0,T,35,2025-06-12T14:03:57+00:00
132,Platero Suárez - Milagrosa,9,6,T,15,2025-11-23T12:38:39+00:00
138,San Pancracio - Periodista Llorente,2,18,T,20,2025-11-23T12:36:15+00:00
140,Campanar - Nicasio Benlloch,5,15,T,20,2025-11-23T12:29:14+00:00
167,Pavía - Acequia de la Cadena,20,0,T,20,2025-11-23T12:36:32+00:00
164,Pavía - Columbretes,17,0,T,17,2025-11-23T12:34:06+00:00
118,Gómez Ferrer - Álvaro de Bazán,1,19,T,20,2025-11-23T12:37:23+00:00
183,Ausias March - Av. de la Plata,1,16,T,18,2025-11-23T12:31:57+00:00
180,Doctor Waksman - Nieves,15,5,T,20,2025-11-23T12:35:05+00:00
182,Ausias March - Pianista Amparo Iturbi,15,6,T,21,2025-11-23T12:32:44+00:00
186,Benifairó de Valldigna - Joaquín Benlloch,6,8,T,14,2025-11-23T12:35:02+00:00
194,Estación AVE Joaquín Sorolla,20,17,T,40,2025-11-23T12:33:40+00:00
196,Jerónimo Muñoz - Gaspar Aguilar,1,13,T,15,2025-11-23T12:37:38+00:00
198,Fontanars dels Aforins - Vall d'Uixó,1,19,T,20,2025-11-23T12:37:42+00:00
101,Marino Blas de Lezo (estación Cabañal Adif),24,5,T,30,2025-11-23T12:32:16+00:00
106,Albalat dels Tarongers - Professor Ernest Lluch,4,21,T,25,2025-11-23T12:33:17+00:00
116,Doctor Vicente Zaragozá - Ramón Asensio,1,13,T,15,2025-11-23T12:35:09+00:00
117,Gascó Oliag - Primado Reig,3,27,T,30,2025-11-23T12:36:34+00:00
133,Alfambra - Poeta Monmeneu,6,8,T,15,2025-11-23T12:34:51+00:00
161,Mediterráneo - Plaza Cruz de Cañamelar,10,5,T,15,2025-11-23T12:38:39+00:00
176,Cno. Moncada - Pedro Patricio Mey,9,11,T,20,2025-11-23T12:33:39+00:00
173,Pío XII - Monestir de Poblet,2,17,T,20,2025-11-23T12:36:47+00:00
187,Ángel Villena - Ausias March,1,14,T,15,2025-11-23T12:35:20+00:00
191,Esparraguera - Cra. Malilla,15,0,T,15,2025-11-23T12:32:27+00:00
152,Reina Doña María - Cádiz,3,12,T,15,2025-11-23T12:32:26+00:00
145,Plaza Badajoz,1,14,T,15,2025-11-23T12:33:44+00:00
201,Perez Galdós - Nou Moles,2,18,T,20,2025-11-23T12:30:13+00:00
235,Conde Torrefiel - Cecilio Plá,2,13,T,15,2025-11-23T12:30:11+00:00
237,Levante U.D. - Ecuador,12,3,T,15,2025-11-23T12:36:24+00:00
239,Florista - T4 (Palau de Congressos),7,13,T,20,2025-11-23T12:37:00+00:00
251,Arquitecto Segura del Lago - Camino Nuevo de Picaña,10,4,T,15,2025-11-23T12:36:32+00:00
242,La Safor - Maestro Rodrigo,2,13,T,15,2025-11-23T12:30:18+00:00
250,Tres Cruces - Pio XI,7,8,T,15,2025-11-23T12:37:26+00:00
254,Doctor Tomás Sala - Carteros,8,11,T,19,2025-11-23T12:33:43+00:00
241,La Vall d'Albaida - Corts Valencianes,1,14,T,15,2025-11-23T12:28:53+00:00
243,Albacete - Maluquer,11,7,T,18,2025-11-23T12:30:34+00:00
247,Tres Cruces - Músico Ayllón,2,13,T,15,2025-11-23T12:29:01+00:00
264,Av. del Cid - Marconi,9,11,T,20,2025-11-23T12:36:09+00:00
266,Canal de Navarrés - Maestro Rodrigo,0,18,T,18,2025-11-23T12:33:53+00:00
268,"Plaza Luis Cano, 5",6,4,T,10,2025-11-23T12:35:12+00:00
267,Beniferri - Vicent Tomás Martí,7,8,T,16,2025-11-23T12:37:11+00:00
232,San Vicente Paul - Santiago Rusiñol,12,3,T,15,2025-11-23T12:36:34+00:00
210,Campos Crespo - Juan de Garay,13,2,T,15,2025-11-23T12:38:12+00:00
212,Fray Juanípero Serra - Torrente,0,15,T,15,2025-11-23T12:29:05+00:00
218,Olimpia Arozena Torres - Juan Bautista Vives,5,10,T,15,2025-11-23T12:37:33+00:00
225,Padre Barranco - Carlos Ruano Llopis (Pintor),1,18,T,20,2025-11-23T12:33:13+00:00
227,San Clemente - Hospital Arnau de Vilanova,0,20,T,20,2025-11-23T12:35:43+00:00
231,Alcañiz - Cambrils,5,10,T,15,2025-11-23T12:37:55+00:00
233,San Juan Bosco - Santiago Rusiñol,13,2,T,15,2025-11-23T12:32:54+00:00
256,Tres Forques - Turís,10,5,T,15,2025-11-23T12:34:39+00:00
258,Pintor Rafael Solves - Jose Soto Mico,12,3,T,15,2025-11-23T12:31:51+00:00
260,Traginers - Pedrapiquers,5,15,T,20,2025-11-23T12:37:59+00:00
275,Moreras - Rona de Nazaret,18,1,T,20,2025-11-23T12:33:52+00:00
229,Aitana - Florista,0,16,T,16,2025-11-23T12:37:06+00:00
70,"Colón, 44",3,14,T,17,2025-11-23T12:30:51+00:00
74,Plaza San Felipe Neri (Mercado Algirós),3,17,T,20,2025-11-23T12:32:51+00:00
91,Grabador Jordan - Escultor Pastor,1,14,T,15,2025-11-23T12:33:28+00:00
99,Blasco Ibañez 166 - Pintor José Mongrell,19,1,T,21,2025-11-23T12:38:33+00:00
33,Germanías - Ruzafa,2,18,T,20,2025-11-23T12:37:15+00:00
29,Plaza América - Cirilo Amorós - Sorní,4,16,T,20,2025-11-23T12:38:33+00:00
31,Salamanca - Conde Altea,2,16,T,19,2025-11-23T12:36:45+00:00
34,Regne de Valencia - Doctor Sumsi,2,15,T,17,2025-11-23T12:37:47+00:00
69,Av. Puerto - Serrería,12,13,T,25,2025-11-23T12:36:28+00:00
41,General Urrutia - Granada,3,17,T,20,2025-11-23T12:34:53+00:00
65,Av. Puerto - Doctor Manuel Candela,7,11,T,19,2025-11-23T12:35:52+00:00
40,"Barcas, 11",0,26,T,26,2025-11-23T12:37:21+00:00
68,Av. Puerto - José Aguilar,4,16,T,20,2025-11-23T12:38:29+00:00
44,General Urrutia - Av. de la Plata,11,8,T,19,2025-11-23T12:34:07+00:00
50,Autopista del Saler - Antonio Ferrandis (C.C. El Saler),21,18,T,40,2025-11-23T12:28:47+00:00
71,Av. Puerto - Plaza Tribunal de les Aigües,16,4,T,20,2025-11-23T12:32:43+00:00
73,Jerónimo Monsoriu - Industria,6,13,T,20,2025-11-23T12:31:09+00:00
1,C/GUILLEM DE CASTRO esquina con C/NA JORDANA,9,16,T,25,2025-11-23T12:37:56+00:00
